,Title,Author,Media
59,中高年を「不倫」に誘(いざな)うことも 同窓会急増中 「思い出」と「危険」がいっぱい : 旧友と青春を語り初恋相手に再会する楽しみもあるが会を利用した勧誘なども,,"Themis 21(2), 82-83, 2012-02"
60,初恋の相手,なとり ちづ,"ほいくる : こどもの豊かな成長を願う、保育にかかわる人たちへ。 (5), 4-6, 2012"
61,初恋 (韓国文学の旅 全鏡潾),"全 鏡潾,キム ミョンスン [訳]","Koreana : 韓国の芸術と文化 18(4), 88-103, 2011-24"
62,男性性の喪失とジェンダー・ポリティクスの攻防 : 昭和ノスタルジア映画のジェンダー表象(第2部)『フラガール』と『初恋』,日高 勝之,"立命館産業社会論集 47(2), 65-88, 2011-09"
63,宮崎あおいと高岡蒼甫 格差婚4年「語られざるドラマ」--14歳の初恋、自殺未遂、自宅で大暴れ,,"週刊文春 53(32), 201-203, 2011-08-11"
64,"マツコ・デラックス""初恋のいとこ""が明かした「3歳で36キロ」 (疑惑追及ワイド 「黒い白鳥」は誰だ)",,"週刊文春 53(26), 142-143, 2011-06-30"
65,初恋の君はドッペルゲンガー? (特集 名探偵はだれだ? 競作 推理物語),香西 美保,"児童文芸 57(3), 18-25, 2011-06"
66,自分との戦いに挑む年 氷川きよし 初恋のあの子を思い出しながら……,氷川 きよし,"婦人公論 96(8), 76-81, 2011-04-07"
67,郷愁の射程-嵯峨の屋おむろ「初恋」論-,黒澤 祐司,"日本文芸論叢 (20), 1-10, 2011-03-31"
68,男女 「ラブ活」勝者の法則--なぜ? 初恋相手から突然のメール/元カノ、元カレを安易に探さない/一番いい写真を掲載しない (特集 フェイスブックが動かす世界),"野村 昌二,木村 恵子,諏訪 満里子","アエラ 24(9), 22-24, 2011-03-07"
69,国語教科書における『たけくらべ』--「淡い初恋の物語」からの脱却,倉本 綾,"近代文学 第二次 研究と資料 5, 268-282, 2011-03"
70,書評 李泳采著『韓流がつたえる現代韓国--「初恋」からノ・ムヒョンの死まで』,権 香淑,"アジア研究 57(1), 76-78, 2011-01"
71,穴あきエフの初恋祭り,多和田 葉子,"文學界 65(1), 24-35, 2011-01"
72,李 泳采著 『韓流がつたえる現代韓国―「初恋」からノ・ムヒョンの死まで』,権 香淑,"アジア研究 57(1), 76-78, 2011"
73,藤村の「初恋」と伊勢物語,松原 秀江,"大手前大学論集 (12), 109-128, 2011"
74,"同窓会不倫--中高年の「初恋」が実るとき--高齢者にとっては心の空洞を埋める""擬似不倫""に",,"月刊テ-ミス 19(10), 106-107, 2010-10"
75,演劇時評(第10回)ザ・キャラクター 佐倉義民傳 アット・ホーム・アット・ザ・ズー 峯の雪 夢の痂 麦の穂の揺れる穂先に モリー先生との火曜日 お岩幽霊〜ぶゑのすあいれす〜 キャンディード CHICAGO ドリームガールズ -初恋 つちのこ 水/ブリキの町で彼女は海を見つけられたか 三人姉妹 アンダーグラウンド,"河合 祥一郎,山口 宏子","悲劇喜劇 63(9), 46-73, 2010-09"
76,史談往来/北から南から 龍馬初恋の人と称される平井加尾,竹村 紘一,"歴史研究 52(7・8), 12-14, 2010-07"
77,婚約者さな、初恋の人かお、妻おりょう 龍馬をめぐる女たち (特集 坂本龍馬の江戸東京を歩く),一坂 太郎,"東京人 25(8), 52-57, 2010-06"
78,堀北真希 「スポンサー安心女優」の初恋 (追跡ワイド この女のナゾを解く!),,"週刊文春 52(18), 165, 2010-05-06"
79,中国における少数民族を描いた中国映画--『ココシリ』『トゥヤーの結婚』『雲南の少女 ルオマの初恋』『雲南の花嫁』,板谷 俊生,"北九州市立大学国際論集 (8), 1-26, 2010-03"
80,恋電車 (特集 競作「初恋」) -- (中学生向け),大塚 篤子,"児童文芸 56(1), 70-75, 2010-02"
81,青いバトン (特集 競作「初恋」) -- (中学生向け),秋本 美那,"児童文芸 56(1), 64-69, 2010-02"
82,ガールズ・フィーリング (特集 競作「初恋」) -- (中学生向け),秋木 真,"児童文芸 56(1), 58-63, 2010-02"
83,君の横顔 (特集 競作「初恋」) -- (中学生向け),光丘 真理,"児童文芸 56(1), 52-57, 2010-02"
84,中学生向け (特集 競作「初恋」),,"児童文芸 56(1), 52-75, 2010-02"
85,きゃあああ! (特集 競作「初恋」) -- (高学年向け),計良 ふき子,"児童文芸 56(1), 42-45, 2010-02"
86,がんばれよ! (特集 競作「初恋」) -- (高学年向け),山口 としこ,"児童文芸 56(1), 38-41, 2010-02"
87,ブレイバー オブ エバーグリーン (特集 競作「初恋」) -- (高学年向け),高橋 真理子,"児童文芸 56(1), 34-37, 2010-02"
88,マーガレット、マーガレット、マーガレット! (特集 競作「初恋」) -- (高学年向け),原田 乃梨,"児童文芸 56(1), 30-33, 2010-02"
89,初恋の法則・その1 (特集 競作「初恋」) -- (高学年向け),たから しげる,"児童文芸 56(1), 26-29, 2010-02"
90,高学年向け (特集 競作「初恋」),,"児童文芸 56(1), 26-45, 2010-02"
91,幼年向け (特集 競作「初恋」),,"児童文芸 56(1), 18-25, 2010-02"
92,特集 競作「初恋」,,"児童文芸 56(1), 18-75, 2010-02"
93,"初恋についての探索的研究--年中児,年長児,短大生の比較を通して",中尾 達馬,"山口芸術短期大学研究紀要 42, 27-35, 2010"
94,エドガー・アラン・ポーとウラジーミル・ナボコフにおける回想と記憶のポリティクス--「アナベル・リー」、「初恋」、『ロリータ』をめぐって,"加藤 雄二,カトウ ユウジ,KATO Yuji","東京外国語大学論集 (81), 97-111, 2010"
95,大橋のぞみちゃん「お小遣いは月400円、貯金も400円になっちゃった」 「チョー人気子役」大研究--加藤清史郎クン、まえだまえだ…お小遣い、学校生活から初恋まで,,"週刊文春 51(41), 144-147, 2009-10-29"
96,Monthly Pickup 田中哲弥『猿駅/初恋』,田中 哲弥,"SFマガジン 50(5), 228-230, 2009-05"
97,今月の角川文庫編集長 島本理生--初恋をイメージする六冊の文庫,"島本 理生,瀧井 朝世","本の旅人 15(3), 2-13, 2009-03"
98,「金正日の病状」「金日成の初恋」を伝えた「脱北知識人」雑誌 (ワイド クラッシュ),,"週刊新潮 53(45), 51-52, 2008-11-27"
99,ジャバの初恋,橘 豪三,"Isotope news (654), 27, 2008-10-01"
100,秦恒平「初恋」論--連鎖する面影のなかで,永栄 啓伸,"皇学館論叢 41(4), 1-26, 2008-08"
101,初恋,海猫沢 めろん,"新潮 105(7), 96-107, 2008-07"
102,本間中将の初恋,谷口 真弓,"文芸春秋 86(1), 78-80, 2008-01"
103,初恋についての探索的研究:－年中児，年長児，短大生の比較を通して－,中尾 達馬,"日本心理学会大会発表論文集 72(0), 3AM015-3AM015, 2008"
104,オンリーワン企業にみる戦略と執念 小さな大企業(60)心残りの解決をサポートする判明率95%の調査会社--初恋の人探します社(大阪府大阪市),宇恵 義人,"先見経済 53(22), 36-38, 2007-12-01"
105,初めての殺人は初恋のようなもの--ロシア 14年間で近隣住民ら60人以上を殺したと語る連続殺人犯の心の闇,,"ニューズウィーク 22(42), 26-27, 2007-11-07"
106,本好き人好き(215)山本権兵衛伯の初恋--覆面子『屑屋の籠』 三宅花圃『その日その日』,谷沢 永一,"國文學 : 解釈と教材の研究 52(9), 156-159, 2007-08"
107,おとなの迷路(第1回)遅れてきた初恋 「婚外純愛」を求める人々,石川 結貴,"サンデ-毎日 86(19), 60-63, 2007-05-06"
108,チアン・チアルイ監督『雲南の少女 ルオマの初恋』,章 家瑞,"シネ・フロント (354), 44-47, 2007-05"
109,田山花袋「初恋の人」に顕された《自然主義》 「わすれ水」になされた「雲中語」評を手がかりとして,高橋 博美,"花袋研究学会々誌 (25), 53-62, 2007-03"
110,宮沢賢治の初恋と短歌--不可解な歌をめぐって,池川 敬司,"国文学 (91), 213-223, 2007-03"
111,初恋ツアー,角田 光代,"すばる 29(1), 52-64, 2007-01"
112,曖昧な「私」の誕生--ベケット『初恋』における幻想・空間・境界線,菊池 慶子,"早稲田大学大学院文学研究科紀要. 第2分冊 53, 113-123, 2007"
113,掲載シナリオ 監督・塙幸成 原作・中原みすず 初恋,"塙 幸成,市川 はるみ,鴨川 哲郎","シナリオ 62(8), 25-55, 2006-08"
114,キネ旬チョイス「初恋」,,"キネマ旬報 (1459), 68-70, 2006-06"
115,随想 初恋談義,藤原 昇,"逓信協会雑誌 (1138), 46-49, 2006-03"
116,有地先生の「初恋」 (大竹秀男 有地亨先生追悼特集),伊藤 昌司,"比較家族史研究 (21), 107-110, 2006"
117,『初恋--若菜集より』〔楽譜〕,高橋 正道,"清泉女学院短期大学研究紀要 (25), 71-83, 2006"
118,勝利者学--成功の要因を知る(第3回)〈初恋の味〉を開発した「飲料界のパイオニア」 それはあたかも不老長寿の霊薬にでも遭遇した印象さえ受けた,相川 信彦,"先見経済 (2541), 22-24, 2005-11-04"
119,小川範子 年の差結婚報告 13歳で出会った初恋の人と愛を貫く幸せ,小川 範子,"婦人公論 90(18), 66-69, 2005-09-07"
120,辻井喬特別インタビュー 断ちがたい初恋、消えない戦争,"辻井 喬,由里 幸子","一冊の本 10(4), 5-12, 2005-04"
121,51歳小林幸子初恋人「お披露目パーティ」 (ワイド 芸能目撃スクープ5連発),,"週刊ポスト 37(8), 38-39, 2005-02-25"
122,岡本流生 初恋の眼差しを彫る (巻頭特集 よみがえる伝統木版画) -- (伝統からの出発),,"版画芸術 34(2), 68-71, 2005"
123,6. 最初期遺伝子Arcを用いたフェロモン記憶機構の解析(<総説特集>ケミカルコミュニケーションの世界),松岡 勝人,"日本味と匂学会誌 12(1), 39-46, 2005"
124,特集 キャロルの初恋 作品分析 アメリカで生まれ育ち、スペイン内戦下を生きたひとりの少女の物語,,"シネ・フロント (331), 12-18, 2004-12"
125,磯村一路監督、自作を語る 母親の愛情につつまれ育った少年と、幼なじみの少女の初恋を描くファンタジー (特集 雨鱒の川),磯村 一路,"シネ・フロント (330), 16-21, 2004-11"
126,まなざしのむかうところ(11)Uさんの初恋,河瀬 直美,"群像 59(11), 342-347, 2004-11"
127,"""サンヒョク""のシャイな素顔 僕の初恋も悲しい結末でした","パク ヨンハ,平林 理恵","婦人公論 89(16), 148-151, 2004-08-22"
128,"アノネ,フクロウ所長様!?--所長と保健師紀久香のおとぼけメールボックス(18)潮騒は初恋の切なさ","森埜 福朗,名園 紀久香","保健師ジャーナル 60(6), 588-592, 2004-06"
129,退院少年A医療少年院レポート 完治のサインは院内の初恋と「性」,草薙 厚子,"週刊文春 46(12), 31-33, 2004-03-25"
130,くだものの歌--あの頃、そして今(13)初恋,土屋 七郎,"果実日本 59(1), 93-95, 2004-01"
131,神戸児童連続殺傷 退院目前少年A 医療少年院矯正日記(2)院内での初恋と失恋,草薙 厚子,"週刊文春 45(44), 36-39, 2003-11-13"
132,映画に学ぶ社会と人生(7)私の好きなラブ・ロマンスの名画--『逢びき』『終着駅』『無法松の一生』『蒲田行進曲』『少女の髪どめ』『初恋のきた道』,愛知 松之助,"人権と部落問題 55(12), 53-57, 2003-10"
133,母の初恋,荒川 〔レイ〕子,"民主文学 (456), 48-59, 2003-10"
134,「書きたくなる」授業を目指して--島崎藤村「初恋」の授業実践報告,山内 康宏,"沖縄国際大学語文と教育の研究 (4), 13-22, 2003-03"
135,原初の愛の内なる風土を求めて : ジョン・クレア覚書き,松下 千吉,"サピエンチア : 英知大学論叢 37, 1-25, 2003-02-28"
136,新美南吉と木本咸子--初恋の女性とその周辺,遠山 光嗣,"新美南吉記念館研究紀要 (10), 75-101,図巻頭1p, 2003"
137,恋と権力--ツルゲーネフの『初恋』について,草野 慶子,"ロシア文化研究 (10), 1-13, 2003"
138,島崎藤村の詩による歌曲集「初恋」〔楽譜〕,小玉 好行,"県立広島女子大学子ども文化研究センター研究紀要 8, 1-111, 2003"
139,「裸の女王様」のヒショヒショ話 田中真紀子秘書実名対談 初恋の人の死とマル秘新党計画--穂苅氏に続き新たな「告発者」が,"松田 史朗,鈴木 圭一,穂苅 英嗣","週刊文春 44(44), 168-171, 2002-11-14"
140,重松清の「ちくメロ放送局」(20)テーマ 初恋 オクラホマ・ミキサー(後編),重松 清,"週刊ポスト 34(41), 81-85, 2002-10-11"
141,重松清の「ちくメロ放送局」(19)テーマ 初恋 オクラホマ・ミキサー(前編),重松 清,"週刊ポスト 34(40), 77-81, 2002-10-04"
142,重松清の「ちくメロ放送局」(18)テーマ 初恋 22才の別れ,重松 清,"週刊ポスト 34(39), 79-83, 2002-09-27"
143,重松清の「ちくメロ放送局」(17)テーマ 初恋,重松 清,"週刊ポスト 34(37), 77-79, 2002-09-20"
144,再検証・横浜トリエンナーレ2001 「恋する美術」だった。(1)子どもたちの初恋,白坂 ゆり,"美術手帖 54(818), 152-158, 2002-04"
145,モイシェ・ナディル:「初恋」,"Nadir Moishe,今井 真樹子 [訳]","シュレミール (1), 77-87, 2002"
146,今日から産休に入ります 初恋の人と、鹿児島でつむぐ幸せの形 (特集 年を重ねて美しく生きる),国生 さゆり,"婦人公論 86(23), 44-46, 2001-12-07"
147,中国映画の歩んだ道--映画大学における講演より (特集 初恋のきた道),富 瀾,"シネ・フロント 26(1), 18-23, 2001-12"
148,『初恋のきた道』と最近の中国映画 (特集 初恋のきた道),石子 順,"シネ・フロント 26(1), 14-17, 2001-12"
149,特集 初恋のきた道,,"シネ・フロント 26(1), 12-23, 2001-12"
150,ホッ!とインタビュー 服部学園理事長・服部栄養専門学校校長 服部幸應--お袋の味は初恋の味。できるだけかみしめさせてあげてほしい,"服部 幸應,上垣内 伸子","こども未来 (362), 31-33, 2001-11"
151,50歳で初恋気分--私の結婚報告 (特集 恋はいつでも始められる),山本 リンダ,"婦人公論 86(15), 32-35, 2001-08-07"
152,VIDEO&DVDシアター DVDコレクション(6)チャン・イーモウ特選「初恋のきた道」「あの子を探して」,"萩尾 瞳,野村 正昭","キネマ旬報 (1338), 168-171, 2001-08"
153,文化・歴史 近代日本の起業家たち(第16回)蒙古から来た「初恋の味」カルピスをつくった男 三島海雲(みしま・かいうん),鹿島 茂,"Φ (139), 52-55, 2001-04"
154,大ヒット中国初恋映画にオジサマたちが泣く! (ワイド 情報の本生、ただいま出荷中!),,"週刊朝日 106(14), 173-174, 2001-03-30"
